date,US_CT_09001,US_CT_09003,US_CT_09009,US_DC_11001,US_MA_25009,US_MA_25017,US_MA_25021,US_MA_25025,US_MA_25027,US_MD_24005,US_MD_24031,US_MD_24033,US_NJ_34003,US_NJ_34013,US_NJ_34017,US_NJ_34023,US_NY_36005,US_NY_36029,US_NY_36047,US_NY_36055,US_NY_36059,US_NY_36061,US_NY_36081,US_NY_36103,US_NY_36119,US_PA_42003,US_PA_42091,US_PA_42101,US_RI_44007,US_VA_51059
2020-03-29,699.0,160.0,153.0,159.0,393.0,535.0,326.0,598.0,208.0,111.0,174.0,171.0,1350.0,846.0,714.0,622.0,3548.0,258.0,4810.0,101.0,3160.0,2077.0,5496.0,2763.0,3828.0,177.0,316.0,608.0,111.0,111.0
2020-04-05,1805.0,475.0,882.0,656.0,936.0,1651.0,723.0,1718.0,641.0,428.0,392.0,538.0,4018.0,2855.0,2950.0,2012.0,8412.0,684.0,9970.0,329.0,7953.0,4055.0,11378.0,7910.0,5203.0,340.0,623.0,2270.0,390.0,239.0
2020-04-12,2484.0,1163.0,1784.0,877.0,1664.0,3028.0,1378.0,2701.0,1054.0,667.0,938.0,1250.0,3597.0,3328.0,3545.0,2743.0,8555.0,512.0,8511.0,250.0,9155.0,3481.0,10538.0,7883.0,5591.0,252.0,1053.0,3217.0,740.0,582.0
2020-04-19,1900.0,1437.0,1925.0,918.0,1983.0,3077.0,1140.0,2715.0,1037.0,482.0,892.0,1317.0,2855.0,2894.0,3017.0,2324.0,5777.0,499.0,6043.0,234.0,6460.0,2310.0,7263.0,6072.0,4490.0,178.0,749.0,2862.0,2014.0,801.0
2020-04-26,3095.0,1638.0,1844.0,1048.0,2336.0,3911.0,1499.0,3469.0,1503.0,780.0,1142.0,1646.0,2326.0,2559.0,3222.0,2625.0,4477.0,884.0,4885.0,284.0,4509.0,2186.0,5708.0,5171.0,3861.0,176.0,820.0,3352.0,1974.0,1080.0
2020-05-03,1272.0,1123.0,1309.0,1175.0,2053.0,2722.0,992.0,2234.0,1716.0,796.0,1512.0,2347.0,1220.0,1658.0,2061.0,1955.0,3124.0,756.0,3604.0,250.0,2258.0,1608.0,4109.0,2796.0,2220.0,134.0,819.0,3288.0,1762.0,1451.0
2020-05-10,1435.0,1151.0,1185.0,1256.0,1811.0,2219.0,672.0,1502.0,1455.0,606.0,1619.0,2167.0,744.0,1003.0,1053.0,1340.0,1720.0,743.0,2397.0,256.0,1437.0,1009.0,2385.0,1847.0,1409.0,158.0,708.0,2357.0,110.0,1552.0
2020-05-17,1012.0,1460.0,950.0,851.0,1109.0,1540.0,522.0,1200.0,1509.0,764.0,1448.0,1825.0,502.0,616.0,625.0,731.0,1642.0,501.0,2066.0,437.0,919.0,896.0,1836.0,1415.0,930.0,100.0,612.0,1395.0,1974.0,1751.0
2020-05-24,866.0,963.0,746.0,987.0,995.0,1308.0,338.0,938.0,1179.0,746.0,1714.0,2702.0,447.0,1002.0,530.0,683.0,1301.0,672.0,1906.0,439.0,701.0,872.0,1625.0,847.0,744.0,174.0,653.0,1628.0,1495.0,1346.0
2020-05-31,476.0,610.0,418.0,691.0,768.0,850.0,267.0,519.0,587.0,692.0,1443.0,1769.0,480.0,487.0,442.0,570.0,965.0,444.0,1280.0,245.0,559.0,537.0,1132.0,679.0,513.0,134.0,536.0,1395.0,445.0,2121.0
